norm_mode,glass+identification_kmeans_ours,glass+identification_kmeans_paper,glass+identification_kmeans_diff,glass+identification_diskmeans_ours,glass+identification_diskmeans_paper,glass+identification_diskmeans_diff,glass+identification_fdkm_ours,glass+identification_fdkm_paper,glass+identification_fdkm_diff,glass+identification_ifdkm_ours,glass+identification_ifdkm_paper,glass+identification_ifdkm_diff,glass+identification_ifdfd_ours,glass+identification_ifdfd_paper,glass+identification_ifdfd_diff,ecoli_kmeans_ours,ecoli_kmeans_paper,ecoli_kmeans_diff,ecoli_diskmeans_ours,ecoli_diskmeans_paper,ecoli_diskmeans_diff,ecoli_fdkm_ours,ecoli_fdkm_paper,ecoli_fdkm_diff,ecoli_ifdkm_ours,ecoli_ifdkm_paper,ecoli_ifdkm_diff,ecoli_ifdfd_ours,ecoli_ifdfd_paper,ecoli_ifdfd_diff,Breast_Cancer_kmeans_ours,Breast_Cancer_kmeans_paper,Breast_Cancer_kmeans_diff,Breast_Cancer_diskmeans_ours,Breast_Cancer_diskmeans_paper,Breast_Cancer_diskmeans_diff,Breast_Cancer_fdkm_ours,Breast_Cancer_fdkm_paper,Breast_Cancer_fdkm_diff,Breast_Cancer_ifdkm_ours,Breast_Cancer_ifdkm_paper,Breast_Cancer_ifdkm_diff,Breast_Cancer_ifdfd_ours,Breast_Cancer_ifdfd_paper,Breast_Cancer_ifdfd_diff
center,53.93,51.7,2.23,51.78,51.2,0.58,53.46,54.0,0.54,53.55,54.2,0.65,53.46,53.5,0.04,58.75,54.4,4.35,65.83,67.0,1.17,64.94,69.0,4.06,71.61,70.8,0.81,72.14,72.5,0.36,85.41,85.4,0.01,85.41,89.3,3.89,91.53,93.0,1.47,85.41,91.4,5.99,85.41,90.7,5.29
standardize,45.23,51.7,6.47,45.61,51.2,5.59,45.70,54.0,8.30,44.49,54.2,9.71,45.14,53.5,8.36,61.31,54.4,6.91,68.93,67.0,1.93,65.24,69.0,3.76,71.61,70.8,0.81,72.14,72.5,0.36,90.93,85.4,5.53,94.02,89.3,4.72,91.21,93.0,1.79,93.18,91.4,1.78,94.38,90.7,3.68
pca_whiten,42.62,51.7,9.08,39.53,51.2,11.67,45.89,54.0,8.11,38.79,54.2,15.41,41.78,53.5,11.72,70.12,54.4,15.72,70.18,67.0,3.18,64.94,69.0,4.06,71.96,70.8,1.16,72.14,72.5,0.36,67.42,85.4,17.98,65.76,89.3,23.54,68.58,93.0,24.42,64.43,91.4,26.97,57.68,90.7,33.02
l2_sample,53.55,51.7,1.85,53.36,51.2,2.16,53.93,54.0,0.07,45.89,54.2,8.31,53.18,53.5,0.32,52.26,54.4,2.14,58.93,67.0,8.07,59.35,69.0,9.65,56.37,70.8,14.43,59.58,72.5,12.92,88.61,85.4,3.21,90.51,89.3,1.21,77.86,93.0,15.14,90.51,91.4,0.89,90.33,90.7,0.37
center_l2,48.13,51.7,3.57,49.72,51.2,1.48,52.90,54.0,1.10,40.37,54.2,13.83,39.63,53.5,13.87,56.07,54.4,1.67,62.92,67.0,4.08,61.01,69.0,7.99,56.79,70.8,14.01,57.50,72.5,15.00,90.69,85.4,5.29,90.69,89.3,1.39,90.69,93.0,2.31,90.69,91.4,0.71,90.69,90.7,0.01
frobenius,53.93,51.7,2.23,53.18,51.2,1.98,54.02,54.0,0.02,44.77,54.2,9.43,53.27,53.5,0.23,58.75,54.4,4.35,66.01,67.0,0.99,64.88,69.0,4.12,66.37,70.8,4.43,66.13,72.5,6.37,85.41,85.4,0.01,90.69,89.3,1.39,85.94,93.0,7.06,85.41,91.4,5.99,85.48,90.7,5.22
robust,47.01,51.7,4.69,43.74,51.2,7.46,45.42,54.0,8.58,45.14,54.2,9.06,45.51,53.5,7.99,52.74,54.4,1.66,68.51,67.0,1.51,66.31,69.0,2.69,70.77,70.8,0.03,71.19,72.5,1.31,89.60,85.4,4.20,90.97,89.3,1.67,90.86,93.0,2.14,90.62,91.4,0.78,90.86,90.7,0.16
minmax,46.26,51.7,5.44,45.98,51.2,5.22,48.04,54.0,5.96,44.02,54.2,10.18,42.90,53.5,10.60,61.96,54.4,7.56,60.89,67.0,6.11,68.39,69.0,0.61,59.58,70.8,11.22,62.80,72.5,9.70,92.79,85.4,7.39,92.44,89.3,3.14,92.44,93.0,0.56,92.79,91.4,1.39,93.04,90.7,2.34
row_center,53.93,51.7,2.23,52.62,51.2,1.42,52.80,54.0,1.20,45.23,54.2,8.97,52.80,53.5,0.70,56.07,54.4,1.67,66.61,67.0,0.39,64.29,69.0,4.71,69.05,70.8,1.75,67.38,72.5,5.12,85.24,85.4,0.16,85.24,89.3,4.06,82.39,93.0,10.61,85.24,91.4,6.16,85.24,90.7,5.46
double_center,53.93,51.7,2.23,51.78,51.2,0.58,53.46,54.0,0.54,53.55,54.2,0.65,53.46,53.5,0.04,56.07,54.4,1.67,66.61,67.0,0.39,64.29,69.0,4.71,68.57,70.8,2.23,64.35,72.5,8.15,85.24,85.4,0.16,85.52,89.3,3.78,93.67,93.0,0.67,85.24,91.4,6.16,85.24,90.7,5.46
False,53.93,51.7,2.23,52.71,51.2,1.51,53.93,54.0,0.07,45.23,54.2,8.97,52.52,53.5,0.98,58.75,54.4,4.35,63.21,67.0,3.79,68.33,69.0,0.67,66.37,70.8,4.43,66.13,72.5,6.37,85.41,85.4,0.01,85.24,89.3,4.06,85.24,93.0,7.76,85.24,91.4,6.16,85.24,90.7,5.46
