dataset,algorithm,norm_mode,gamma,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,best_run,best_seed,best_run_acc,best_run_nmi,best_run_ari
glass+identification,kmeans,center,N/A,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,5,46,54.6729,38.5140,26.1768
ecoli,kmeans,pca_whiten,N/A,70.1190,9.1802,60.6757,2.2238,57.6476,8.4896,3,44,78.2738,62.1405,66.3253
Breast_Cancer,kmeans,minmax,N/A,92.7944,0.0000,62.3086,0.0000,73.0175,0.0000,1,42,92.7944,62.3086,73.0175
coil-20-proc,kmeans,center,N/A,66.5833,4.4832,78.2578,1.6079,60.5789,3.3713,4,45,72.9861,79.9893,65.9172
Digits,kmeans,center,N/A,78.3973,5.1303,73.9147,2.7208,65.6498,4.9846,1,42,86.1436,77.4997,72.5814
image+segmentation,kmeans,minmax,N/A,62.8286,5.3239,61.5292,0.5475,48.1893,3.2715,5,46,66.8095,61.0893,50.3046
coil-100,kmeans,minmax,N/A,62.6083,0.5346,83.4946,0.1740,56.7708,0.8336,1,42,63.5833,83.5740,57.3682
glass+identification,diskmeans,l2_sample,1.0,53.3645,0.5449,41.9455,2.2712,27.4704,0.5729,3,44,54.2056,44.2881,28.0339
ecoli,diskmeans,pca_whiten,1e-08,70.1786,8.3001,61.1091,2.3713,58.3918,9.3845,1,42,79.1667,63.0509,68.3615
Breast_Cancer,diskmeans,standardize,100.0,94.0246,0.7203,68.7523,4.1571,77.3425,2.5109,3,44,94.5518,72.0425,79.1928
coil-20-proc,diskmeans,center,100000000.0,64.1806,2.8809,77.1359,1.4220,56.1476,3.0651,2,43,67.4306,78.7098,59.1939
Digits,diskmeans,center_l2,10000.0,76.3717,4.1293,73.9297,1.2351,65.4175,2.9442,2,43,80.9683,75.6130,69.4696
image+segmentation,diskmeans,robust,1.0,73.4476,1.4964,68.5660,2.0543,59.2378,2.6738,5,46,75.6667,71.9400,63.6325
coil-100,diskmeans,center_l2,100.0,57.7861,1.9292,81.9054,0.4117,52.9518,0.7503,4,45,61.2778,82.5987,53.9115
glass+identification,fdkm,frobenius,0.01,54.0187,0.8667,42.3550,1.5847,27.6937,0.7235,4,45,54.6729,43.6348,28.2920
ecoli,fdkm,minmax,10000.0,68.3929,2.0395,62.0313,1.6156,53.2421,3.4074,5,46,70.5357,63.9855,57.7948
Breast_Cancer,fdkm,double_center,1.0,93.6731,0.0000,68.6410,0.7686,76.0464,0.0094,1,42,93.6731,69.0253,76.0417
coil-20-proc,fdkm,row_center,100000000.0,67.5694,3.5451,79.1214,2.0394,60.9509,3.8941,3,44,70.9028,81.5717,64.6099
Digits,fdkm,center_l2,10000.0,79.8776,3.1007,74.4885,1.0764,67.7085,2.1067,4,45,85.4758,76.6231,71.6730
image+segmentation,fdkm,robust,1.0,75.8571,1.3093,71.7403,1.9804,63.5674,2.2185,2,43,78.3810,75.5399,67.8090
coil-100,fdkm,center,100000000.0,60.7472,0.8770,83.0569,0.2974,55.9168,1.0445,4,45,62.0972,82.8284,57.1706
glass+identification,ifdkm,center,10000.0,53.5514,0.6994,40.4433,2.6953,26.5697,1.3065,3,44,54.2056,42.7716,27.0195
ecoli,ifdkm,pca_whiten,10000.0,71.9643,6.4258,60.7400,2.3562,58.6070,8.2168,1,42,79.7619,63.7313,68.3705
Breast_Cancer,ifdkm,standardize,100.0,93.1810,1.5735,65.9510,5.4989,74.4224,5.4411,5,46,94.5518,72.0425,79.1928
coil-20-proc,ifdkm,minmax,10000.0,66.5000,1.6099,77.9356,0.9357,59.2805,2.0935,4,45,69.0972,78.9832,61.9270
Digits,ifdkm,center_l2,100.0,79.7440,5.0451,76.4065,2.1840,69.5925,3.9252,5,46,85.3088,79.4465,73.7783
image+segmentation,ifdkm,False,1.0,72.7810,2.4783,68.6813,3.2607,59.0129,4.0837,5,46,75.4762,71.3808,62.9273
coil-100,ifdkm,l2_sample,100.0,60.2444,1.1654,81.9910,0.3926,55.1687,0.8756,4,45,61.9167,82.1370,55.8015
glass+identification,ifdfd,center,10000.0,53.4579,0.9157,41.2138,1.9078,26.9524,0.0821,1,42,54.2056,42.7716,27.0195
ecoli,ifdfd,center,1e-08,72.1429,6.6165,61.2382,2.4762,58.9816,8.5876,1,42,79.7619,63.9673,68.8620
Breast_Cancer,ifdfd,standardize,100.0,94.3761,0.0000,71.4243,0.0000,78.5581,0.0000,1,42,94.3761,71.4243,78.5581
coil-20-proc,ifdfd,minmax,10000.0,67.4583,1.7172,78.5085,1.0431,60.6298,2.0977,1,42,69.3056,79.8169,63.2512
Digits,ifdfd,center_l2,100.0,79.9444,5.6185,76.7443,2.5038,69.9682,4.3124,5,46,87.0896,80.7892,75.7025
image+segmentation,ifdfd,row_center,1.0,74.5524,1.6080,70.5321,1.5189,61.5971,1.9094,4,45,76.3333,72.2458,63.9658
coil-100,ifdfd,l2_sample,10000.0,62.2528,0.4848,82.5803,0.3079,57.5754,0.6688,1,42,63.1250,82.7593,58.8342
