dataset,algorithm,norm_mode,gamma,seed,acc,nmi,ari,runtime_s,n_iter,memory_baseline_mb,memory_peak_mb,memory_delta_mb
glass+identification,kmeans,center,,46,54.6729,38.5140,26.1768,0.0269,6,166.6758,167.5938,0.9180
glass+identification,diskmeans,l2_sample,1.0,44,54.2056,44.2881,28.0339,0.0012,6,168.5508,170.5664,2.0156
glass+identification,fdkm,frobenius,0.01,45,54.6729,43.6348,28.2920,0.0166,5,170.5703,170.5781,0.0078
glass+identification,ifdkm,center,10000.0,44,54.2056,42.7716,27.0195,0.0344,12,170.5781,170.5781,0.0000
glass+identification,ifdfd,center,10000.0,42,54.2056,42.7716,27.0195,0.0332,11,170.5781,170.5898,0.0117
ecoli,kmeans,pca_whiten,,44,78.2738,62.1405,66.3253,0.0024,9,208.5898,208.6211,0.0312
ecoli,diskmeans,pca_whiten,1e-08,42,79.1667,63.0509,68.3615,0.0031,10,208.6211,208.6211,0.0000
ecoli,fdkm,minmax,10000.0,46,70.5357,63.9855,57.7948,0.0409,8,208.6211,208.6211,0.0000
ecoli,ifdkm,pca_whiten,10000.0,42,79.7619,63.7313,68.3705,0.0404,9,208.6211,208.6211,0.0000
ecoli,ifdfd,center,1e-08,42,79.7619,63.9673,68.8620,0.0558,12,208.6211,208.6211,0.0000
Breast_Cancer,kmeans,minmax,,42,92.7944,62.3086,73.0175,0.0480,10,262.8047,262.8516,0.0469
Breast_Cancer,diskmeans,standardize,100.0,44,94.5518,72.0425,79.1928,0.0202,34,262.8516,263.4102,0.5586
Breast_Cancer,fdkm,double_center,1.0,42,93.6731,69.0253,76.0417,0.1403,23,263.4102,263.4141,0.0039
Breast_Cancer,ifdkm,standardize,100.0,46,94.5518,72.0425,79.1928,0.1093,22,263.4141,263.4141,0.0000
Breast_Cancer,ifdfd,standardize,100.0,42,94.3761,71.4243,78.5581,0.2172,44,263.4141,263.4805,0.0664
coil-20-proc,kmeans,center,,45,72.9861,79.9893,65.9172,0.0775,18,319.2148,321.8828,2.6680
coil-20-proc,diskmeans,center,100000000.0,43,67.4306,78.7098,59.1939,0.0938,15,321.8828,347.6602,25.7773
coil-20-proc,fdkm,row_center,100000000.0,44,70.9028,81.5717,64.6099,0.1961,8,347.6602,347.6602,0.0000
coil-20-proc,ifdkm,minmax,10000.0,45,69.0972,78.9832,61.9270,0.4470,19,347.6602,347.6602,0.0000
coil-20-proc,ifdfd,minmax,10000.0,42,69.3056,79.8169,63.2512,0.7380,33,347.6602,347.6836,0.0234
Digits,kmeans,center,,42,86.1436,77.4997,72.5814,0.0712,13,323.8828,323.9414,0.0586
Digits,diskmeans,center_l2,10000.0,43,80.9683,75.6130,69.4696,0.0568,14,323.9414,324.8672,0.9258
Digits,fdkm,center_l2,10000.0,45,85.4758,76.6231,71.6730,0.1883,11,324.8672,324.8672,0.0000
Digits,ifdkm,center_l2,100.0,46,85.3088,79.4465,73.7783,0.4321,20,324.8672,324.8672,0.0000
Digits,ifdfd,center_l2,100.0,46,87.0896,80.7892,75.7025,0.5362,27,324.8672,324.8672,0.0000
image+segmentation,kmeans,minmax,,46,66.8095,61.0893,50.3046,0.0667,8,271.1484,271.1719,0.0234
image+segmentation,diskmeans,robust,1.0,46,75.6667,71.9400,63.6325,0.1438,14,271.2344,336.8008,65.5664
image+segmentation,fdkm,robust,1.0,43,78.3810,75.5399,67.8090,0.2444,13,271.8555,271.8555,0.0000
image+segmentation,ifdkm,False,1.0,46,75.4762,71.3808,62.9273,0.3094,18,271.8555,271.8555,0.0000
image+segmentation,ifdfd,row_center,1.0,45,76.3333,72.2458,63.9658,0.8552,44,271.8555,271.8555,0.0000
coil-100,kmeans,minmax,,42,63.5833,83.5740,57.3682,1.0367,29,828.7852,1166.2930,337.5078
coil-100,diskmeans,center_l2,100.0,45,61.2778,82.5987,53.9115,2.4684,27,893.9922,1860.8281,966.8359
coil-100,fdkm,center,100000000.0,45,62.0972,82.8284,57.1706,5.0316,21,901.0508,1382.5820,481.5312
coil-100,ifdkm,l2_sample,100.0,45,61.9167,82.1370,55.8015,7.0716,41,901.0508,1382.5703,481.5195
coil-100,ifdfd,l2_sample,10000.0,42,63.1250,82.7593,58.8342,8.9205,46,901.0508,1382.5820,481.5312
